NEW.ID_PROG;YEAR;JULIANDAY;nb_evenement;HS;DS;HEURE_MIN;HEURE_MAX;DUREE;DUREE_CONSIDEREE;VALIDE;SESSION
100b;2008;173;4;;;07:30;11:45;4,25;4,25;FALSE;0
100b;2008;177;7;;;05:30;13:15;7,75;7,75;TRUE;3
100b;2009;149;1;;;09:45;09:45;0;0;FALSE;0
100b;2010;139;1;;;11:00;11:00;0;0;FALSE;1
100b;2010;157;3;;;07:00;10:00;3;3;FALSE;2
100b;2010;179;1;;;07:00;07:00;0;0;FALSE;3
100b;2012;176;4;;;08:00;13:00;5;5;FALSE;0
100b;2013;134;4;;;07:10;10:15;3,08;3,08;FALSE;0
100b;2013;147;8;;;05:45;12:00;6,25;6,25;TRUE;0
1011;2018;145;17;;;06:30;10:30;4;4;TRUE;1
1011;2018;177;19;;;06:00;10:20;4,33;4,33;TRUE;2
1011;2018;198;18;;;06:20;11:00;4,67;4,67;TRUE;3
1011;2019;136;14;;;06:00;11:00;5;5;TRUE;1
1011;2019;162;15;;;05:30;11:00;5,5;5,5;TRUE;0
1011;2019;179;21;;;06:10;11:00;4,83;4,83;TRUE;2
1011;2019;199;14;;;06:00;10:10;4,17;4,17;TRUE;3
1012;2018;125;2;;;06:30;07:30;1;1;FALSE;0
1012;2018;145;6;;;06:50;11:00;4,17;4,17;TRUE;1
1012;2018;171;4;;;06:02;10:30;4,47;4,47;FALSE;2
1012;2018;184;10;;;06:35;10:30;3,92;3,92;FALSE;3
1012;2019;127;2;;;06:45;08:20;1,58;1,58;FALSE;0
1012;2019;143;5;;;07:25;11:05;3,67;3,67;FALSE;1
1012;2019;162;5;;;05:45;08:00;2,25;2,25;FALSE;2
1012;2019;186;9;;;06:20;08:55;2,58;2,58;FALSE;3
1014;2018;136;6;;;07:30;12:40;5,17;5,17;TRUE;1
1014;2018;159;5;;;06:30;08:15;1,75;1,75;FALSE;2
1014;2018;171;3;;;08:25;09:45;1,33;1,33;FALSE;0
1014;2018;188;3;;;07:25;09:15;1,83;1,83;FALSE;3
1014;2019;141;12;;;06:55;12:20;5,42;5,42;TRUE;1
1014;2019;157;11;;;06:25;10:35;4,17;4,17;TRUE;2
1014;2019;173;10;;;06:25;12:25;6;6;TRUE;3
1014;2019;184;2;;;08:35;12:00;3,42;3,42;FALSE;0
101a;2003;149;12;;;06:45;13:10;6,42;6,42;TRUE;1
101a;2003;165;14;;;05:45;11:33;5,8;5,8;TRUE;2
