"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Terrestre";"FALTEO";0;0;0;0;0;0;0;58;0;"Terrestre";"Court";1;0,00396825396825397
"Terrestre";"FALTIN";0;0;0;0;0;0;0;55,5;0;"Terrestre";"Court";5;0,0198412698412698
"Terrestre";"FICUCA";0;0;0;0;0;0,95;1;53;0,012987012987013;"Terrestre";"Long";27;0,107142857142857
"Terrestre";"FRICOE";0;0;1;3;5;8,3;32;53;0,571428571428571;"Terrestre";"Court";196;0,777777777777778
"Terrestre";"GARGLA";0;0;0;1;1;2;9;53;0,25;"Terrestre";"Court";171;0,678571428571429
"Terrestre";"HIPICT";0;0;0;0,5;1;1;1;53;0,0280373831775701;"Terrestre";"Long";21;0,0833333333333333
"Terrestre";"HIPPOL";0;0;2;5,5;11,5;17,65;26;53;0,376623376623377;"Terrestre";"Long";153;0,607142857142857
"Terrestre";"HIRRUP";0;0;0;0;0;0;0;84;0;"Terrestre";"Court";1;0,00396825396825397
"Terrestre";"HIRRUS";0;0;0;0;1;1,45;3;53;0,0384615384615385;"Terrestre";"Long";56;0,222222222222222
"Terrestre";"IXOMIN";0;0;0;0;0;0;0;58;0;"Aquatique";"Long";2;0,00793650793650794
"Terrestre";"JYNTOR";0;0;0;0;0,0499999999999998;1,0375;1;55,5;0,0150309460654288;"Terrestre";"Long";21;0,0833333333333333
"Terrestre";"LANMER";0;0;0;0;0;0;0;84;0;"Terrestre";"Court";1;0,00396825396825397
"Terrestre";"LANRIO";0;0;0;1;2,7;4,85;7;53;0,125;"Terrestre";"Long";54;0,214285714285714
"Terrestre";"LANSEN";0;0;0;0;0;0;0;80;0;"Terrestre";"Long";3;0,0119047619047619
"Terrestre";"LOCLUS";0;0;0;0;0;0;0;53;0;"Aquatique";"Long";8;0,0317460317460317
"Terrestre";"LOCNAE";0;0;0;0;1,3;2,5;3;53;0,0714285714285714;"Aquatique";"Long";53;0,21031746031746
"Terrestre";"LOXCUR";0,0125;0,125;0,25;0,625;0,85;0,9625;1;80,5;0,010093325218097;"Terrestre";"Court";3;0,0119047619047619
"Terrestre";"LULARB";0;0;0;0;0,4;0,85;1;59;0,0100361300682457;"Terrestre";"Court";13;0,0515873015873016
"Terrestre";"LUSMEG";0;0;2;6;14,2;21,5;27;53;0,514018691588785;"Terrestre";"Long";175;0,694444444444444
"Terrestre";"LUSSVE";0;0;0;1;2,6;5,55;2;53;0,0357142857142857;"Aquatique";"Long";20;0,0793650793650794
"Terrestre";"MERAPI";0;0;0;0;0;0;0;60;0;"Terrestre";"Long";1;0,00396825396825397
"Terrestre";"MILCAL";0;0;0;0;0,9;0,975;1;58;0,0125;"Terrestre";"Court";10;0,0396825396825397
"Terrestre";"MOTALB";0;0;0;0;0,6;1;1;53;0,0246913580246914;"Terrestre";"Court";36;0,142857142857143
"Terrestre";"MOTCIN";0;0;0;0;0;0;0;58;0;"Terrestre";"Court";15;0,0595238095238095
"Terrestre";"MOTFLA";0;0;0;0;0;0;0;53;0;"Terrestre";"Long";7;0,0277777777777778
"Terrestre";"MUSSTR";0;0;0;0;1;2;4;53;0,0967741935483871;"Terrestre";"Long";71;0,281746031746032
"Terrestre";"OENOEN";0;0;0;0;0;0;0;80;0;"Terrestre";"Long";5;0,0198412698412698
"Terrestre";"ORIORI";0;0;0;0;0,5;0,875;1;53;0,0188679245283019;"Terrestre";"Long";25;0,0992063492063492
"Terrestre";"OTUSCO";0;0;0;0;0;0;0;84;0;"Terrestre";"Long";5;0,0198412698412698
"Terrestre";"PANBIA";0;0;0;0;0;0;0;88,5;0;"Aquatique";"Court";1;0,00396825396825397
"Terrestre";"PAPALU";0;0;0;1;2;3;12;53;0,2625;"Terrestre";"Court";150;0,595238095238095
"Terrestre";"PARATE";0;0;0;0;0,3;0,9125;1;55,5;0,0127435064935065;"Terrestre";"Court";29;0,115079365079365
"Terrestre";"PARCAE";0;0;1;2,5;4;6;31;53;0,604938271604938;"Terrestre";"Court";233;0,924603174603175
"Terrestre";"PARCRI";0;0;0;0,75;1;2;4;53;0,0987654320987654;"Terrestre";"Court";84;0,333333333333333
"Terrestre";"PARMAJ";0;1;3;5;7;9,90000000000001;42;53;0,844155844155844;"Terrestre";"Court";247;0,98015873015873
"Terrestre";"PARNUS";0;0;1;1,5;2,6;3,775;6;53;0,15;"Terrestre";"Court";53;0,21031746031746
"Terrestre";"PASDOM";0;0;0,5;3;7,4;13,9;10;53;0,214285714285714;"Terrestre";"Court";89;0,353174603174603
"Terrestre";"PASMON";0;0;0;0;0;0;0;53;0;"Terrestre";"Court";10;0,0396825396825397
"Terrestre";"PETPET";0;0;0;0;0;0;0;59;0;"Terrestre";"Court";1;0,00396825396825397
