"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2006;"STOC-rozo";"Court";0;0;0,0909090909090909;0,408854166666667;0,5
2007;"STOC-rozo";"Court";0;0,0192307692307692;0,183333333333333;0,577481840193705;0,955
2008;"STOC-rozo";"Court";0;0;0;0,157142857142857;0,485192307692308
2009;"STOC-rozo";"Court";0;0;0,0769230769230769;0,211111111111111;0,4375
2010;"STOC-rozo";"Court";0;0;0,0767045454545455;0,2125;0,35875
2011;"STOC-rozo";"Court";0;0,0454545454545455;0,125;0,29047619047619;0,607142857142857
2012;"STOC-rozo";"Court";0;0;0;0;0,64973544973545
2013;"STOC-rozo";"Court";0;0;0;0,3;0,428571428571429
2014;"STOC-rozo";"Court";0;0,0576923076923077;0,373626373626374;0,610714285714286;0,78183962264151
2015;"STOC-rozo";"Court";0;0;0;0,204761904761905;0,449074074074074
2016;"STOC-rozo";"Court";0;0;0,142857142857143;0,28735632183908;0,504109589041096
2017;"STOC-rozo";"Court";0;0,111111111111111;0,25;0,49375;0,599038461538462
2018;"STOC-rozo";"Court";0;0,0277777777777778;0,166666666666667;0,335164835164835;0,587171052631579
2019;"STOC-rozo";"Court";0,03;0,3;0,333333333333333;0,375;0,459948979591837
1989;"Terrestre";"Court";0,0747502774694784;0,218091009988901;0,377358490566038;0,412559842297944;0,44424105885666
1990;"Terrestre";"Court";0,0199367088607595;0,146205357142857;0,240715095052247;0,413833767078725;0,516649159663866
1991;"Terrestre";"Court";0;0,0272727272727273;0,15625;0,219806763285024;0,311596422445479
1992;"Terrestre";"Court";0,0458683473389356;0,116666666666667;0,236842105263158;0,319592790387183;0,669055944055944
1993;"Terrestre";"Court";0,0902777777777778;0,153755868544601;0,274647887323944;0,383885584820164;0,696558747855918
1994;"Terrestre";"Court";0,0166468253968254;0,0708874458874459;0,142976588628763;0,229166666666667;0,390740740740741
1995;"Terrestre";"Court";0,00523255813953489;0,108013273854858;0,21485036702428;0,404761904761905;0,55922619047619
1996;"Terrestre";"Court";0,0153846153846154;0,102564102564103;0,127906976744186;0,3;0,429771908763505
1997;"Terrestre";"Court";0;0,0366935483870968;0,102941176470588;0,221113445378151;0,329310344827586
1998;"Terrestre";"Court";0,0132352941176471;0,128855519480519;0,195553539019964;0,332236842105263;0,365625
1999;"Terrestre";"Court";0,0504901960784314;0,0848484848484848;0,167763157894737;0,235700890764182;0,521331908831909
2000;"Terrestre";"Court";0,012962962962963;0,139048714998082;0,230769230769231;0,427272727272727;0,617337164750958
2001;"Terrestre";"Court";0,0229166666666667;0,10625;0,233333333333333;0,377155172413793;0,612931034482759
2002;"Terrestre";"Court";0,0233333333333333;0,111111111111111;0,321428571428571;0,377049180327869;0,543421052631579
2003;"Terrestre";"Court";0;0,100577825929939;0,19047619047619;0,320056899004267;0,626885369532428
2004;"Terrestre";"Court";0;0,062987012987013;0,183110367892977;0,342857142857143;0,711054421768708
2005;"Terrestre";"Court";0;0,09375;0,176470588235294;0,324324324324324;0,572027972027972
2006;"Terrestre";"Court";0;0,103947368421053;0,195238095238095;0,303803339517625;0,641836503623188
2007;"Terrestre";"Court";0;0,159134615384615;0,281304347826087;0,480637254901961;0,676655052264808
2008;"Terrestre";"Court";0;0,0654846756949394;0,15;0,30094537815126;0,566883116883117
2009;"Terrestre";"Court";0;0,0902777777777778;0,222222222222222;0,387228260869565;0,651591214701927
2010;"Terrestre";"Court";0;0,0816666666666667;0,173913043478261;0,333333333333333;0,626712328767123
2011;"Terrestre";"Court";0;0,143506493506493;0,267942583732057;0,4;0,620466422785472
2012;"Terrestre";"Court";0;0,054691483936767;0,147090517241379;0,297222222222222;0,521869328493648
2013;"Terrestre";"Court";0;0,0375058602906704;0,142857142857143;0,266666666666667;0,667391304347826
2014;"Terrestre";"Court";0;0,154135338345865;0,282857142857143;0,428571428571429;0,677407786885246
2015;"Terrestre";"Court";0;0,0571895424836601;0,166666666666667;0,329710144927536;0,650787401574803
2016;"Terrestre";"Court";0;0,0588235294117647;0,133333333333333;0,287878787878788;0,601831501831502
2017;"Terrestre";"Court";0;0,125;0,21583850931677;0,366479723899914;0,682210739322107
2018;"Terrestre";"Court";0;0,05;0,166666666666667;0,266666666666667;0,563298490127758
2019;"Terrestre";"Court";0;0,0827272727272727;0,19375;0,331632653061224;0,573160266037331
2001;"Aquatique";"Long";0;0;0;0;0
2002;"Aquatique";"Long";0,0357142857142857;0,0357142857142857;0,0357142857142857;0,0357142857142857;0,0357142857142857
2003;"Aquatique";"Long";0;0;0;0;0
2004;"Aquatique";"Long";0;0;0;0;0
2005;"Aquatique";"Long";0;0;0;0;0
2006;"Aquatique";"Long";0;0;0;0,0178571428571429;0,0339285714285714
2007;"Aquatique";"Long";0,00378787878787879;0,0366161616161616;0,0694444444444444;0,121348797250859;0,230167211465929
2008;"Aquatique";"Long";0;0;0,0434782608695652;0,1;0,123253757736516
2009;"Aquatique";"Long";0;0;0,0384615384615385;0,0817307692307692;0,272014604810997
2010;"Aquatique";"Long";0;0,00735294117647059;0,0347058823529412;0,164411764705882;0,231617647058824
2011;"Aquatique";"Long";0;0;0,0419407894736842;0,0894109396914446;0,131518817204301
2012;"Aquatique";"Long";0;0;0,0263157894736842;0,0740740740740741;0,113736263736264
2013;"Aquatique";"Long";0;0;0;0,0303030303030303;0,0753623188405797
2014;"Aquatique";"Long";0;0;0,0789473684210526;0,114583333333333;0,144097222222222
2015;"Aquatique";"Long";0;0;0,0277777777777778;0,111111111111111;0,288927637314734
2016;"Aquatique";"Long";0;0,0606060606060606;0,0666666666666667;0,08;0,241111111111111
2017;"Aquatique";"Long";0;0;0,0588235294117647;0,173913043478261;0,259305555555556
2018;"Aquatique";"Long";0;0,0376552795031056;0,0888157894736842;0,181878747501666;0,210526315789474
2019;"Aquatique";"Long";0;0;0,0417391304347826;0,0540909090909091;0,103189189189189
1996;"STOC-rozo";"Long";0,0535714285714286;0,0535714285714286;0,0535714285714286;0,0535714285714286;0,0535714285714286
1997;"STOC-rozo";"Long";0,486333333333333;0,543333333333333;0,606666666666667;0,67;0,727
1998;"STOC-rozo";"Long";0;0;0;0,025;0,0475
1999;"STOC-rozo";"Long";0;0;0;0;0
2000;"STOC-rozo";"Long";0,00625;0,0625;0,100490196078431;0,135110294117647;0,182261029411765
2001;"STOC-rozo";"Long";0;0;0,0434782608695652;0,0909090909090909;0,189090909090909
2002;"STOC-rozo";"Long";0;0;0;0,0766509433962264;0,139814814814815
2003;"STOC-rozo";"Long";0;0;0,0321428571428571;0,0647058823529412;0,08125
2004;"STOC-rozo";"Long";0;0;0;0;0
2005;"STOC-rozo";"Long";0;0;0,0135135135135135;0,0393654524089307;0,0679347826086956
2006;"STOC-rozo";"Long";0;0;0;0,0690476190476191;0,253302845528455
2007;"STOC-rozo";"Long";0;0;0,0526315789473684;0,0900383141762452;0,39363221016562
2008;"STOC-rozo";"Long";0;0;0,0555555555555556;0,1;0,284528301886792
2009;"STOC-rozo";"Long";0;0;0,0172413793103448;0,109722222222222;0,268378607809847
2010;"STOC-rozo";"Long";0;0;0,0338888888888889;0,0607843137254902;0,164642857142857
2011;"STOC-rozo";"Long";0;0;0,0434782608695652;0,120071684587814;0,207142857142857
2012;"STOC-rozo";"Long";0;0;0,0714285714285714;0,166666666666667;0,418485151818485
2013;"STOC-rozo";"Long";0;0,0394736842105263;0,0957207207207207;0,157051282051282;0,296218487394958
2014;"STOC-rozo";"Long";0,009375;0,0473145780051151;0,0833333333333333;0,135623869801085;0,158286825638424
2015;"STOC-rozo";"Long";0;0,0135135135135135;0,0540540540540541;0,165873015873016;0,223200992555831
2016;"STOC-rozo";"Long";0;0,0384615384615385;0,0769230769230769;0,118055555555556;0,182291666666667
2017;"STOC-rozo";"Long";0;0,0454545454545455;0,147058823529412;0,233333333333333;0,382170542635659
2018;"STOC-rozo";"Long";0;0,0673491379310345;0,1425;0,251428571428571;0,44025974025974
2019;"STOC-rozo";"Long";0,0113636363636364;0,0967532467532467;0,120433996383363;0,245931283905967;0,372252747252747
1989;"Terrestre";"Long";0;0;0;0,0909090909090909;0,172727272727273
1990;"Terrestre";"Long";0;0,0204081632653061;0,0677966101694915;0,099009900990099;0,276571428571429
1991;"Terrestre";"Long";0;0;0,0493939393939394;0,10031185031185;0,159572072072072
1992;"Terrestre";"Long";0;0;0,0839160839160839;0,148411371237458;0,264047987616099
1993;"Terrestre";"Long";0;0;0,0263157894736842;0,188034188034188;0,261363636363636
1994;"Terrestre";"Long";0;0;0,0373641304347826;0,0739247311827957;0,258294930875576
1995;"Terrestre";"Long";0;0;0,0925155925155925;0,127777777777778;0,160416666666667
1996;"Terrestre";"Long";0;0;0;0,152224824355972;0,25655737704918
1997;"Terrestre";"Long";0;0;0;0,0119047619047619;0,126190476190476
1998;"Terrestre";"Long";0;0;0;0,0666666666666667;0,133647058823529
1999;"Terrestre";"Long";0;0;0,0454545454545455;0,135854341736695;0,198333333333333
2000;"Terrestre";"Long";0;0;0,0328502415458937;0,153571428571429;0,298991935483871
2001;"Terrestre";"Long";0;0;0;0,186363636363636;0,368333333333333
2002;"Terrestre";"Long";0;0;0;0,125;0,295258620689655
2003;"Terrestre";"Long";0;0;0;0,0852272727272727;0,287199519230769
2004;"Terrestre";"Long";0;0;0;0,226376720901126;0,399464285714286
2005;"Terrestre";"Long";0;0;0;0,170238095238095;0,46195652173913
2006;"Terrestre";"Long";0;0;0;0,143478260869565;0,423125
2007;"Terrestre";"Long";0;0;0,0697115384615385;0,2;0,364322916666666
2008;"Terrestre";"Long";0;0;0;0,179960448253131;0,452777777777777
2009;"Terrestre";"Long";0;0;0,0769230769230769;0,213203463203463;0,41
2010;"Terrestre";"Long";0;0;0;0,170833333333333;0,635227272727272
2011;"Terrestre";"Long";0;0;0,0787878787878788;0,23342175066313;0,33655303030303
2012;"Terrestre";"Long";0;0;0;0,118055555555556;0,469444444444444
2013;"Terrestre";"Long";0;0;0;0,0762548262548263;0,332535885167464
2014;"Terrestre";"Long";0;0;0;0,153753026634383;0,486628733997155
2015;"Terrestre";"Long";0;0;0;0,181818181818182;0,55334595959596
2016;"Terrestre";"Long";0;0;0;0,093841642228739;0,25
2017;"Terrestre";"Long";0;0;0;0,149626865671642;0,674999999999997
2018;"Terrestre";"Long";0;0;0;0,148214285714286;0,604617117117116
2019;"Terrestre";"Long";0;0;0;0,142857142857143;0,494117647058823
