"YEAR";"HABITAT";"ESPECE";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2011;"STOC-rozo";"PARMAJ";"Court";0;0;0;0;0
2013;"STOC-rozo";"PARMAJ";"Court";1;1;1;1;1
2014;"STOC-rozo";"PARMAJ";"Court";0,683333333333333;0,833333333333333;1;1;1
2016;"STOC-rozo";"PARMAJ";"Court";1;1;1;1;1
2017;"STOC-rozo";"PARMAJ";"Court";0,62;0,8;1;1;1
1989;"Terrestre";"PARMAJ";"Court";0,5;0,5;0,5;0,5;0,5
1990;"Terrestre";"PARMAJ";"Court";0,075;0,5625;0,75;1;1
1991;"Terrestre";"PARMAJ";"Court";0;0,0357142857142857;0,380952380952381;0,916666666666667;1
1992;"Terrestre";"PARMAJ";"Court";0;0,1875;0,416666666666667;0,955882352941176;1
1993;"Terrestre";"PARMAJ";"Court";0,226666666666667;0,4;0,5;0,8;1
1994;"Terrestre";"PARMAJ";"Court";0;0;0;0,5;0,66
1995;"Terrestre";"PARMAJ";"Court";0;0;0,708333333333333;0,836842105263158;0,990789473684211
1996;"Terrestre";"PARMAJ";"Court";0,201666666666667;0,45;0,571428571428571;0,633333333333333;0,666666666666667
1997;"Terrestre";"PARMAJ";"Court";0;0,125;0,583333333333333;0,916666666666667;1
1998;"Terrestre";"PARMAJ";"Court";0;0,0625;0,380952380952381;0,575;0,806547619047619
1999;"Terrestre";"PARMAJ";"Court";0,333333333333333;0,333333333333333;0,5;1;1
2000;"Terrestre";"PARMAJ";"Court";0;0,482142857142857;0,666666666666667;0,675;0,965625
2001;"Terrestre";"PARMAJ";"Court";0;0,0833333333333333;0,55;1;1
2002;"Terrestre";"PARMAJ";"Court";0;0,45;0,571428571428571;0,825757575757576;1
2003;"Terrestre";"PARMAJ";"Court";0;0;0,375;0,729166666666667;1
2004;"Terrestre";"PARMAJ";"Court";0;0;0,333333333333333;0,666666666666667;1
2005;"Terrestre";"PARMAJ";"Court";0;0;0,354166666666667;0,908773291925466;1
2006;"Terrestre";"PARMAJ";"Court";0;0;0,291666666666667;0,661184210526316;1
2007;"Terrestre";"PARMAJ";"Court";0;0,285714285714286;0,666666666666667;0,916666666666667;1
2008;"Terrestre";"PARMAJ";"Court";0;0;0,142857142857143;0,615384615384615;1
2009;"Terrestre";"PARMAJ";"Court";0;0,114583333333333;0,5;0,758928571428571;1
2010;"Terrestre";"PARMAJ";"Court";0;0;0,176470588235294;0,75;1
2011;"Terrestre";"PARMAJ";"Court";0;0,166666666666667;0,5;0,756944444444444;1
2012;"Terrestre";"PARMAJ";"Court";0;0;0,333333333333333;0,667910447761194;1
2013;"Terrestre";"PARMAJ";"Court";0;0;0;0,633333333333333;1
2014;"Terrestre";"PARMAJ";"Court";0;0;0,333333333333333;0,75;1
2015;"Terrestre";"PARMAJ";"Court";0;0;0,316666666666667;0,675;1
2016;"Terrestre";"PARMAJ";"Court";0;0;0,333333333333333;0,7375;1
2017;"Terrestre";"PARMAJ";"Court";0;0;0,5625;1;1
2018;"Terrestre";"PARMAJ";"Court";0;0;0,166666666666667;0,5;1
2019;"Terrestre";"PARMAJ";"Court";0;0;0,333333333333333;0,666666666666667;1
2003;"Aquatique";"PARNUS";"Court";0;0;0;0;0
2008;"Aquatique";"PARNUS";"Court";1;1;1;1;1
2011;"Aquatique";"PARNUS";"Court";0;0;0;0;0
2013;"Aquatique";"PARNUS";"Court";1;1;1;1;1
2002;"STOC-rozo";"PARNUS";"Court";1;1;1;1;1
2004;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2006;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2008;"STOC-rozo";"PARNUS";"Court";1;1;1;1;1
2009;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2010;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2013;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2015;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2017;"STOC-rozo";"PARNUS";"Court";1;1;1;1;1
2018;"STOC-rozo";"PARNUS";"Court";1;1;1;1;1
1989;"Terrestre";"PARNUS";"Court";0,0166666666666666;0,166666666666667;0,333333333333333;0,5;0,65
1990;"Terrestre";"PARNUS";"Court";0;0,166666666666667;0,461538461538462;0,696969696969697;0,959090909090909
1991;"Terrestre";"PARNUS";"Court";0,03;0,3;0,5125;0,65625;0,740625
1992;"Terrestre";"PARNUS";"Court";0;0;0,25;0,625;0,9625
1993;"Terrestre";"PARNUS";"Court";0,260416666666667;0,333333333333333;0,452380952380952;0,642857142857143;0,958333333333333
1994;"Terrestre";"PARNUS";"Court";0,0166666666666667;0,166666666666667;0,333333333333333;0,666666666666667;0,966666666666667
1995;"Terrestre";"PARNUS";"Court";0,00624999999999998;0,0625;0,125;0,1875;0,24375
1996;"Terrestre";"PARNUS";"Court";0;0;0;0,5;0,95
1997;"Terrestre";"PARNUS";"Court";0,508333333333333;0,583333333333333;0,666666666666667;0,761904761904762;0,847619047619048
1998;"Terrestre";"PARNUS";"Court";0,605714285714286;0,657142857142857;0,714285714285714;0,857142857142857;0,985714285714286
1999;"Terrestre";"PARNUS";"Court";0,025;0,25;0,5;0,5;0,5
2000;"Terrestre";"PARNUS";"Court";0,025;0,25;0,5;0,75;0,975
2001;"Terrestre";"PARNUS";"Court";0;0;0;0,125;0,4625
2002;"Terrestre";"PARNUS";"Court";0,0416666666666667;0,375;0,583333333333333;0,916666666666667;1
2003;"Terrestre";"PARNUS";"Court";0;0;0;0,479166666666667;0,985416666666667
2004;"Terrestre";"PARNUS";"Court";0;0,0681818181818182;0,45;0,625;1
2005;"Terrestre";"PARNUS";"Court";0,275;0,5;0,666666666666667;1;1
2006;"Terrestre";"PARNUS";"Court";0;0;0;0,25;0,916666666666667
2007;"Terrestre";"PARNUS";"Court";0,0625;0,5625;0,875;1;1
2008;"Terrestre";"PARNUS";"Court";0;0;0,333333333333333;0,75;0,975
2009;"Terrestre";"PARNUS";"Court";0;0;0,5;0,8;1
2010;"Terrestre";"PARNUS";"Court";0;0;0,333333333333333;0,583333333333333;0,95
2011;"Terrestre";"PARNUS";"Court";0;0,125;0,5;0,625;0,958333333333333
2012;"Terrestre";"PARNUS";"Court";0;0;0;0,333333333333333;0,933333333333334
2014;"Terrestre";"PARNUS";"Court";0;0;0,5;1;1
2015;"Terrestre";"PARNUS";"Court";0;0;0;0,25;0,755
2016;"Terrestre";"PARNUS";"Court";0,0125;0,125;0,25;0,375;0,4875
2017;"Terrestre";"PARNUS";"Court";0;0;0;0;0,9
2018;"Terrestre";"PARNUS";"Court";0;0;0;0;0,9
2019;"Terrestre";"PARNUS";"Court";0;0;0;0,5;0,5
2010;"Aquatique";"PASDOM";"Court";0;0;0;0;0
2013;"Aquatique";"PASDOM";"Court";0;0;0;0;0
2016;"Aquatique";"PASDOM";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2017;"Aquatique";"PASDOM";"Court";0;0;0;0;0
2018;"Aquatique";"PASDOM";"Court";0;0;0;0;0
2019;"Aquatique";"PASDOM";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2009;"STOC-rozo";"PASDOM";"Court";0;0;0;0;0
1992;"Terrestre";"PASDOM";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
1993;"Terrestre";"PASDOM";"Court";0;0;0;0;0
1995;"Terrestre";"PASDOM";"Court";0;0;0;0;0
1999;"Terrestre";"PASDOM";"Court";0;0;0;0;0
2001;"Terrestre";"PASDOM";"Court";0;0;0;0,25;0,475
2002;"Terrestre";"PASDOM";"Court";0;0;0;0;0,45
2003;"Terrestre";"PASDOM";"Court";0,0333333333333334;0,333333333333333;0,666666666666667;0,833333333333333;0,983333333333333
2004;"Terrestre";"PASDOM";"Court";0;0;0;0;0,85
2005;"Terrestre";"PASDOM";"Court";0;0;0;0,0625;0,23125
2006;"Terrestre";"PASDOM";"Court";0;0;0;0,0416666666666667;0,4375
2007;"Terrestre";"PASDOM";"Court";0;0;0;0;0,36
2008;"Terrestre";"PASDOM";"Court";0;0;0;0,0576923076923077;0,315384615384615
2009;"Terrestre";"PASDOM";"Court";0;0;0;0;0
2010;"Terrestre";"PASDOM";"Court";0;0;0;0,180555555555556;0,8875
2011;"Terrestre";"PASDOM";"Court";0;0;0;0,323863636363636;0,590454545454545
2012;"Terrestre";"PASDOM";"Court";0;0;0;0,25;0,479166666666667
2013;"Terrestre";"PASDOM";"Court";0;0;0;0,5;0,807894736842105
2014;"Terrestre";"PASDOM";"Court";0;0;0;0,333333333333333;0,666666666666667
2015;"Terrestre";"PASDOM";"Court";0;0;0;0,3;0,903571428571429
2016;"Terrestre";"PASDOM";"Court";0;0;0;0,229166666666667;0,333333333333333
2017;"Terrestre";"PASDOM";"Court";0;0;0;0;0,45
2018;"Terrestre";"PASDOM";"Court";0;0;0;0,125;1
2019;"Terrestre";"PASDOM";"Court";0;0;0;0;0
2003;"Terrestre";"PASMON";"Court";0;0;0;0;0
2004;"Terrestre";"PASMON";"Court";0;0;0;0;0
2006;"Terrestre";"PASMON";"Court";0;0;0;0;0
2010;"Terrestre";"PASMON";"Court";0;0;0;0;0
2001;"Terrestre";"PHOOCH";"Court";0,5;0,5;0,5;0,5;0,5
2002;"Terrestre";"PHOOCH";"Court";0;0;0;0;0
2003;"Terrestre";"PHOOCH";"Court";0;0;0;0;0
2004;"Terrestre";"PHOOCH";"Court";0,5;0,5;0,5;0,5;0,5
2005;"Terrestre";"PHOOCH";"Court";0,35;0,5;0,666666666666667;0,833333333333333;0,983333333333333
2006;"Terrestre";"PHOOCH";"Court";0;0;0;0,25;0,925
2007;"Terrestre";"PHOOCH";"Court";0;0;0;0,5;0,666666666666667
2008;"Terrestre";"PHOOCH";"Court";0;0;0;0;0
2009;"Terrestre";"PHOOCH";"Court";0;0;0;0;0
2010;"Terrestre";"PHOOCH";"Court";1;1;1;1;1
2011;"Terrestre";"PHOOCH";"Court";0;0;0;1;1
2012;"Terrestre";"PHOOCH";"Court";0;0;0;1;1
2013;"Terrestre";"PHOOCH";"Court";1;1;1;1;1
2014;"Terrestre";"PHOOCH";"Court";0,05;0,5;1;1;1
2015;"Terrestre";"PHOOCH";"Court";0,0375;0,375;0,75;1;1
2016;"Terrestre";"PHOOCH";"Court";1;1;1;1;1
2017;"Terrestre";"PHOOCH";"Court";0,504166666666667;0,541666666666667;0,583333333333333;0,625;0,6625
2018;"Terrestre";"PHOOCH";"Court";0;0;0;0;0
2019;"Terrestre";"PHOOCH";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2004;"Aquatique";"PHYCOL";"Court";0;0;0;0;0
2006;"Aquatique";"PHYCOL";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2007;"Aquatique";"PHYCOL";"Court";0;0;0;0;0
2008;"Aquatique";"PHYCOL";"Court";0,0125;0,125;0,25;0,375;0,4875
2009;"Aquatique";"PHYCOL";"Court";1;1;1;1;1
2011;"Aquatique";"PHYCOL";"Court";0;0;0;0,25;0,925
2012;"Aquatique";"PHYCOL";"Court";0;0;0;0,0625;0,23125
2013;"Aquatique";"PHYCOL";"Court";0;0;0;0;0
2014;"Aquatique";"PHYCOL";"Court";0;0;0,166666666666667;0,5;0,95
2015;"Aquatique";"PHYCOL";"Court";0;0;0;0;0
2016;"Aquatique";"PHYCOL";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2017;"Aquatique";"PHYCOL";"Court";0;0;0;0,25;0,625
2018;"Aquatique";"PHYCOL";"Court";0;0;0;0,15;0,9
2019;"Aquatique";"PHYCOL";"Court";0;0;0;0;0
2002;"STOC-rozo";"PHYCOL";"Court";0;0;0;0;0
2003;"STOC-rozo";"PHYCOL";"Court";0;0;0;0;0
2004;"STOC-rozo";"PHYCOL";"Court";0;0;0;0;0
2005;"STOC-rozo";"PHYCOL";"Court";0,5;0,5;0,5;0,5;0,5
2006;"STOC-rozo";"PHYCOL";"Court";0,5125;0,625;0,75;0,875;0,9875
2007;"STOC-rozo";"PHYCOL";"Court";0,727272727272727;0,727272727272727;0,727272727272727;0,727272727272727;0,727272727272727
2008;"STOC-rozo";"PHYCOL";"Court";0,705882352941177;0,705882352941177;0,705882352941177;0,705882352941177;0,705882352941177
2009;"STOC-rozo";"PHYCOL";"Court";0,35;0,5;0,666666666666667;0,833333333333333;0,983333333333333
2010;"STOC-rozo";"PHYCOL";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2011;"STOC-rozo";"PHYCOL";"Court";0,0166666666666667;0,166666666666667;0,333333333333333;0,416666666666667;0,491666666666667
2012;"STOC-rozo";"PHYCOL";"Court";0;0;0;0,321428571428571;0,819196428571429
2013;"STOC-rozo";"PHYCOL";"Court";0;0;0,25;0,5;0,5
2014;"STOC-rozo";"PHYCOL";"Court";0;0;0;0,333333333333333;0,633333333333333
2015;"STOC-rozo";"PHYCOL";"Court";0,01875;0,1875;0,291666666666667;0,4;0,58
2016;"STOC-rozo";"PHYCOL";"Court";0,620833333333333;0,708333333333333;0,805555555555556;0,902777777777778;0,990277777777778
2017;"STOC-rozo";"PHYCOL";"Court";0,025;0,25;0,5;0,625;0,7375
2018;"STOC-rozo";"PHYCOL";"Court";0;0;0,25;0,541666666666667;0,654166666666667
2019;"STOC-rozo";"PHYCOL";"Court";0,0125;0,125;0,25;0,375;0,4875
1989;"Terrestre";"PHYCOL";"Court";0,0142857142857143;0,142857142857143;0,285714285714286;0,542857142857143;0,774285714285714
1990;"Terrestre";"PHYCOL";"Court";0;0;0,0833333333333333;0,282012195121951;0,591666666666667
1991;"Terrestre";"PHYCOL";"Court";0;0;0,142857142857143;0,302556818181818;0,467857142857143
1992;"Terrestre";"PHYCOL";"Court";0;0;0;0,11096256684492;0,9
1993;"Terrestre";"PHYCOL";"Court";0;0;0,195187165775401;0,333333333333333;0,805921052631579
1994;"Terrestre";"PHYCOL";"Court";0;0;0;0,0975935828877005;0,235805626598465
1995;"Terrestre";"PHYCOL";"Court";0;0,0789473684210526;0,307894736842105;0,382352941176471;0,917647058823529
1996;"Terrestre";"PHYCOL";"Court";0;0;0;0,142857142857143;0,914285714285715
1997;"Terrestre";"PHYCOL";"Court";0;0;0;0;0,10625
1998;"Terrestre";"PHYCOL";"Court";0;0;0;0,125;0,4325
1999;"Terrestre";"PHYCOL";"Court";0;0;0,0833333333333333;0,291666666666667;0,916666666666667
2000;"Terrestre";"PHYCOL";"Court";0;0;0,0625;0,472222222222222;0,532692307692308
2001;"Terrestre";"PHYCOL";"Court";0;0,03125;0,345238095238095;0,482142857142857;0,6125
2002;"Terrestre";"PHYCOL";"Court";0;0;0;0,333333333333333;0,593253968253968
2003;"Terrestre";"PHYCOL";"Court";0;0;0;0,129464285714286;0,808333333333334
2004;"Terrestre";"PHYCOL";"Court";0;0;0;0,458333333333333;1
2005;"Terrestre";"PHYCOL";"Court";0;0;0;0,339285714285714;1
2006;"Terrestre";"PHYCOL";"Court";0;0;0;0,142857142857143;0,9
2007;"Terrestre";"PHYCOL";"Court";0;0;0;0,404761904761905;1
2008;"Terrestre";"PHYCOL";"Court";0;0;0;0,333333333333333;1
2009;"Terrestre";"PHYCOL";"Court";0;0;0;0,3875;1
2010;"Terrestre";"PHYCOL";"Court";0;0;0;0;0,871875
2011;"Terrestre";"PHYCOL";"Court";0;0;0;0,3125;0,659848484848485
2012;"Terrestre";"PHYCOL";"Court";0;0;0;0,414285714285714;0,7125
2013;"Terrestre";"PHYCOL";"Court";0;0;0;0,234848484848485;0,941666666666665
2014;"Terrestre";"PHYCOL";"Court";0;0;0;0,30952380952381;1
2015;"Terrestre";"PHYCOL";"Court";0;0;0;0,396153846153846;1
2016;"Terrestre";"PHYCOL";"Court";0;0;0;0,25;1
2017;"Terrestre";"PHYCOL";"Court";0;0;0;0,333333333333333;0,90948275862069
2018;"Terrestre";"PHYCOL";"Court";0;0;0;0,2;0,954545454545455
2019;"Terrestre";"PHYCOL";"Court";0;0;0;0,35;0,769444444444444
2002;"Terrestre";"PHYCOLBRE";"Court";0;0;0;0;0
2003;"Terrestre";"PHYCOLBRE";"Court";0;0;0;0;0
1992;"Terrestre";"PICDIS";"Court";0;0;0;0;0
1993;"Terrestre";"PICDIS";"Court";0;0;0;0;0
1994;"Terrestre";"PICDIS";"Court";0;0;0;0;0
1997;"Terrestre";"PICDIS";"Court";0;0;0;0;0
1998;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2000;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2001;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2002;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2004;"Terrestre";"PICDIS";"Court";0;0;0;0,5;0,95
2005;"Terrestre";"PICDIS";"Court";0;0;0;0;0,45
2006;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2007;"Terrestre";"PICDIS";"Court";0,05;0,5;1;1;1
2008;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2009;"Terrestre";"PICDIS";"Court";0;0;0;0,25;0,925
2010;"Terrestre";"PICDIS";"Court";0;0;0;0,5;0,925
2011;"Terrestre";"PICDIS";"Court";0;0;0,25;0,625;0,9625
2012;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2013;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2014;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2015;"Terrestre";"PICDIS";"Court";0;0;0;0,166666666666667;0,616666666666666
2016;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2017;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2018;"Terrestre";"PICDIS";"Court";0;0;0;0;0
2019;"Terrestre";"PICDIS";"Court";0;0;0;0,25;0,475
2015;"Terrestre";"PICDISVIR";"Court";0;0;0;0;0
2007;"Terrestre";"PICPIC";"Court";0;0;0;0;0
2010;"Terrestre";"PICPIC";"Court";0;0;0;0;0
2013;"Terrestre";"PICPIC";"Court";0;0;0;0;0
2016;"Terrestre";"PICPIC";"Court";0;0;0;0;0
2004;"Aquatique";"PRUMOD";"Court";0;0;0;0;0
2006;"Aquatique";"PRUMOD";"Court";0;0;0;0;0
2007;"Aquatique";"PRUMOD";"Court";0,0125;0,125;0,25;0,375;0,4875
2008;"Aquatique";"PRUMOD";"Court";0;0;0;0;0
2009;"Aquatique";"PRUMOD";"Court";0;0;0;0,25;0,475
2010;"Aquatique";"PRUMOD";"Court";0;0;0;0;0
2011;"Aquatique";"PRUMOD";"Court";0,025;0,25;0,5;0,75;0,975
2012;"Aquatique";"PRUMOD";"Court";0;0;0;0,5;0,95
2013;"Aquatique";"PRUMOD";"Court";0,0125;0,125;0,25;0,375;0,4875
2014;"Aquatique";"PRUMOD";"Court";0;0;0;0;0
2015;"Aquatique";"PRUMOD";"Court";0;0;0;0;0
2016;"Aquatique";"PRUMOD";"Court";0,0166666666666666;0,166666666666667;0,333333333333333;0,5;0,65
2017;"Aquatique";"PRUMOD";"Court";0;0;0;0;0
2018;"Aquatique";"PRUMOD";"Court";0;0;0,25;0,625;0,9625
2019;"Aquatique";"PRUMOD";"Court";1;1;1;1;1
2000;"STOC-rozo";"PRUMOD";"Court";0;0;0;0;0
2002;"STOC-rozo";"PRUMOD";"Court";1;1;1;1;1
2003;"STOC-rozo";"PRUMOD";"Court";0;0;0;0;0
2004;"STOC-rozo";"PRUMOD";"Court";0;0;0;0;0
2005;"STOC-rozo";"PRUMOD";"Court";0;0;0;0;0
2006;"STOC-rozo";"PRUMOD";"Court";0,22;0,4;0,6;0,8;0,98
2007;"STOC-rozo";"PRUMOD";"Court";0;0;0;0,25;0,475
2008;"STOC-rozo";"PRUMOD";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325
2010;"STOC-rozo";"PRUMOD";"Court";0;0;0;0;0
2011;"STOC-rozo";"PRUMOD";"Court";0;0;0;0;0
2012;"STOC-rozo";"PRUMOD";"Court";0;0;0;0;0
2014;"STOC-rozo";"PRUMOD";"Court";0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667
2015;"STOC-rozo";"PRUMOD";"Court";0;0;0;0;0
2016;"STOC-rozo";"PRUMOD";"Court";0;0;0;0;0
2017;"STOC-rozo";"PRUMOD";"Court";1;1;1;1;1
2018;"STOC-rozo";"PRUMOD";"Court";0;0;0;0;0
1989;"Terrestre";"PRUMOD";"Court";0,00714285714285712;0,0714285714285714;0,142857142857143;0,214285714285714;0,278571428571429
1990;"Terrestre";"PRUMOD";"Court";0;0;0;0,0833333333333333;0,44
1991;"Terrestre";"PRUMOD";"Court";0;0;0;0;0,18
1992;"Terrestre";"PRUMOD";"Court";0;0;0,0714285714285714;0,180555555555556;0,451388888888889
1993;"Terrestre";"PRUMOD";"Court";0;0;0;0,157142857142857;0,415769230769231
1994;"Terrestre";"PRUMOD";"Court";0;0;0;0,142857142857143;0,196363636363636
1995;"Terrestre";"PRUMOD";"Court";0;0;0;0,173076923076923;0,378846153846154
1996;"Terrestre";"PRUMOD";"Court";0;0;0;0;0
1997;"Terrestre";"PRUMOD";"Court";0;0;0;0;0
1998;"Terrestre";"PRUMOD";"Court";0;0;0;0;0,0708333333333333
1999;"Terrestre";"PRUMOD";"Court";0;0;0;0;0,085
2000;"Terrestre";"PRUMOD";"Court";0;0;0;0,191964285714286;0,8875
2001;"Terrestre";"PRUMOD";"Court";0;0;0;0,163352272727273;0,837499999999999
2002;"Terrestre";"PRUMOD";"Court";0;0;0;0,2;0,799999999999999
2003;"Terrestre";"PRUMOD";"Court";0;0;0;0,0833333333333333;0,52
2004;"Terrestre";"PRUMOD";"Court";0;0;0;0,3;1
2005;"Terrestre";"PRUMOD";"Court";0;0;0;0,2375;0,64642857142857
2006;"Terrestre";"PRUMOD";"Court";0;0;0;0,333333333333333;0,75
2007;"Terrestre";"PRUMOD";"Court";0;0;0;0,333333333333333;0,665217391304348
2008;"Terrestre";"PRUMOD";"Court";0;0;0;0;0,6
2009;"Terrestre";"PRUMOD";"Court";0;0;0;0,333333333333333;0,593913043478261
2010;"Terrestre";"PRUMOD";"Court";0;0;0;0,225;0,625
2011;"Terrestre";"PRUMOD";"Court";0;0;0;0,291666666666667;0,666666666666667
2012;"Terrestre";"PRUMOD";"Court";0;0;0;0,2;0,55
2013;"Terrestre";"PRUMOD";"Court";0;0;0;0;0,5625
2014;"Terrestre";"PRUMOD";"Court";0;0;0;0,433333333333333;1
2015;"Terrestre";"PRUMOD";"Court";0;0;0;0;0,5675
2016;"Terrestre";"PRUMOD";"Court";0;0;0;0;0,6875
2017;"Terrestre";"PRUMOD";"Court";0;0;0;0,34375;1
2018;"Terrestre";"PRUMOD";"Court";0;0;0;0,225;0,595
2019;"Terrestre";"PRUMOD";"Court";0;0;0;0,3125;1
2006;"Aquatique";"PYRULA";"Court";0;0;0;0;0
2007;"Aquatique";"PYRULA";"Court";0;0;0;0;0
2013;"Aquatique";"PYRULA";"Court";0;0;0;0;0
2014;"Aquatique";"PYRULA";"Court";0;0;0;0;0
2015;"Aquatique";"PYRULA";"Court";0;0;0;0;0
2018;"Aquatique";"PYRULA";"Court";0;0;0;0;0
2006;"STOC-rozo";"PYRULA";"Court";0;0;0;0;0
2007;"STOC-rozo";"PYRULA";"Court";0;0;0;0;0
2008;"STOC-rozo";"PYRULA";"Court";0;0;0;0;0
2010;"STOC-rozo";"PYRULA";"Court";0;0;0;0;0
2012;"STOC-rozo";"PYRULA";"Court";0;0;0;0;0
2014;"STOC-rozo";"PYRULA";"Court";0;0;0;0;0
2017;"STOC-rozo";"PYRULA";"Court";0;0;0;0;0
1989;"Terrestre";"PYRULA";"Court";0,0125;0,125;0,25;0,375;0,4875
1990;"Terrestre";"PYRULA";"Court";0;0;0,166666666666667;0,5;0,5
1991;"Terrestre";"PYRULA";"Court";0;0;0;0;0
1992;"Terrestre";"PYRULA";"Court";0;0;0;0,125;0,4625
1993;"Terrestre";"PYRULA";"Court";0,0125;0,125;0,25;0,375;0,4875
1994;"Terrestre";"PYRULA";"Court";0;0;0;0;0
1995;"Terrestre";"PYRULA";"Court";0;0;0;0;0
1996;"Terrestre";"PYRULA";"Court";0;0;0;0;0
1998;"Terrestre";"PYRULA";"Court";0;0;0;0;0
1999;"Terrestre";"PYRULA";"Court";0;0;0;0;0
2000;"Terrestre";"PYRULA";"Court";0;0;0;0,25;0,925
2001;"Terrestre";"PYRULA";"Court";0;0;0;0;1
2002;"Terrestre";"PYRULA";"Court";0;0;0;0;0
2003;"Terrestre";"PYRULA";"Court";0;0;0;0;0,9
2004;"Terrestre";"PYRULA";"Court";0;0;0;0;0,241666666666667
2005;"Terrestre";"PYRULA";"Court";0;0;0;0;0
2006;"Terrestre";"PYRULA";"Court";0;0;0;0;0
2007;"Terrestre";"PYRULA";"Court";0;0;0;0;0,866666666666666
2008;"Terrestre";"PYRULA";"Court";0;0;0;0;0
2009;"Terrestre";"PYRULA";"Court";0;0;0;0,28125;0,837499999999999
2010;"Terrestre";"PYRULA";"Court";0;0;0;0;0,5
2011;"Terrestre";"PYRULA";"Court";0;0;0;0,380952380952381;1
2012;"Terrestre";"PYRULA";"Court";0;0;0;0;0
2013;"Terrestre";"PYRULA";"Court";0;0;0;0;0
2014;"Terrestre";"PYRULA";"Court";0;0;0;0;1
2015;"Terrestre";"PYRULA";"Court";0;0;0;0;0,75
2016;"Terrestre";"PYRULA";"Court";0;0;0;0;0,300000000000001
2017;"Terrestre";"PYRULA";"Court";0;0;0;0;0,721428571428571
2018;"Terrestre";"PYRULA";"Court";0;0;0;0;0,41
2019;"Terrestre";"PYRULA";"Court";0;0;0;0;0
1997;"Terrestre";"REGIGN";"Court";0;0;0;0;0
2004;"Terrestre";"REGIGN";"Court";0;0;0;0;0
2008;"Terrestre";"REGIGN";"Court";0;0;0;0;0
2011;"Terrestre";"REGIGN";"Court";1;1;1;1;1
2012;"Terrestre";"REGIGN";"Court";0;0;0;0;0
2014;"Terrestre";"REGIGN";"Court";0;0;0;0;0
2015;"Terrestre";"REGIGN";"Court";0;0;0;0;0
2016;"Terrestre";"REGIGN";"Court";0;0;0;0;0
2017;"Terrestre";"REGIGN";"Court";0;0;0;0;0
2018;"Terrestre";"REGIGN";"Court";0;0;0;0;0
2019;"Terrestre";"REGIGN";"Court";0;0;0;0;0
1990;"Terrestre";"REGREG";"Court";0;0;0;0;0
2002;"Terrestre";"REGREG";"Court";0;0;0;0;0
2004;"Terrestre";"REGREG";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2005;"Terrestre";"REGREG";"Court";0;0;0;0;0
2008;"Terrestre";"REGREG";"Court";0;0;0;0;0
2010;"Terrestre";"REGREG";"Court";0;0;0;0;0
2016;"Terrestre";"REGREG";"Court";1;1;1;1;1
2019;"Terrestre";"REGREG";"Court";0;0;0;0;0
2016;"Aquatique";"SAXTOR";"Court";1;1;1;1;1
2017;"Aquatique";"SAXTOR";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2018;"Aquatique";"SAXTOR";"Court";1;1;1;1;1
2005;"STOC-rozo";"SAXTOR";"Court";0;0;0;0;0
2008;"STOC-rozo";"SAXTOR";"Court";1;1;1;1;1
2017;"STOC-rozo";"SAXTOR";"Court";1;1;1;1;1
2018;"STOC-rozo";"SAXTOR";"Court";1;1;1;1;1
2019;"STOC-rozo";"SAXTOR";"Court";1;1;1;1;1
1994;"Terrestre";"SAXTOR";"Court";0;0;0;0;0
1996;"Terrestre";"SAXTOR";"Court";1;1;1;1;1
2000;"Terrestre";"SAXTOR";"Court";1;1;1;1;1
2001;"Terrestre";"SAXTOR";"Court";0,0125;0,125;0,25;0,375;0,4875
2002;"Terrestre";"SAXTOR";"Court";0,7;0,7;0,7;0,7;0,7
