"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2018;"AD";"Court";0;0;0,0588235294117647;0,2;0,340196078431372;"Terrestre"
1989;"JUV";"Court";0,03375;0,0375;0,0416666666666667;0,0458333333333333;0,0495833333333333;"Terrestre"
1990;"JUV";"Court";0;0,00510204081632653;0,0210736468500444;0,0304347826086957;0,0422101449275362;"Terrestre"
1991;"JUV";"Court";0,00151515151515152;0,0151515151515152;0,0303030303030303;0,0818181818181818;0,128181818181818;"Terrestre"
1992;"JUV";"Court";0;0;0;0,0588235294117647;0,205882352941177;"Terrestre"
1993;"JUV";"Court";0;0,00641025641025641;0,0384615384615385;0,0628205128205128;0,0739583333333333;"Terrestre"
1994;"JUV";"Court";0,0658357771260997;0,0777126099706745;0,0909090909090909;0,136363636363636;0,177272727272727;"Terrestre"
1995;"JUV";"Court";0;0;0;0,0294117647058824;0,108823529411765;"Terrestre"
1996;"JUV";"Court";0;0;0;0,0454545454545455;0,0863636363636364;"Terrestre"
1997;"JUV";"Court";0,00125;0,0125;0,025;0,0375;0,04875;"Terrestre"
1998;"JUV";"Court";0,00185185185185185;0,0185185185185185;0,037037037037037;0,0385185185185185;0,0398518518518519;"Terrestre"
1999;"JUV";"Court";0,0230555555555556;0,0305555555555556;0,0388888888888889;0,0472222222222222;0,0547222222222222;"Terrestre"
2000;"JUV";"Court";0;0;0,00980392156862745;0,04437564499484;0,0861244019138756;"Terrestre"
2001;"JUV";"Court";0;0;0;0,0326086956521739;0,164525691699605;"Terrestre"
2002;"JUV";"Court";0;0;0;0,0341386554621849;0,0756868131868132;"Terrestre"
2003;"JUV";"Court";0;0;0;0,0106382978723404;0,121796140524493;"Terrestre"
2004;"JUV";"Court";0;0;0;0,0588235294117647;0,0783333333333333;"Terrestre"
2005;"JUV";"Court";0;0;0;0,00815217391304348;0,0653195488721804;"Terrestre"
2006;"JUV";"Court";0;0;0;0,0169491525423729;0,158333333333333;"Terrestre"
2007;"JUV";"Court";0;0;0,0155122655122655;0,0508658008658009;0,177673796791444;"Terrestre"
2008;"JUV";"Court";0;0;0;0,0555555555555556;0,0696832579185521;"Terrestre"
2009;"JUV";"Court";0;0;0,0178571428571429;0,0510135135135135;0,140416666666667;"Terrestre"
2010;"JUV";"Court";0;0;0;0,0204238329238329;0,128525641025641;"Terrestre"
2011;"JUV";"Court";0;0;0;0,0446428571428571;0,100681390977444;"Terrestre"
2012;"JUV";"Court";0;0;0;0,00219298245614035;0,0855263157894737;"Terrestre"
2013;"JUV";"Court";0;0;0;0;0,0583333333333333;"Terrestre"
2014;"JUV";"Court";0;0;0;0,0228982744783307;0,111710963455149;"Terrestre"
2015;"JUV";"Court";0;0;0;0,0225146198830409;0,0961363636363636;"Terrestre"
2016;"JUV";"Court";0;0;0;0,0128205128205128;0,05503003003003;"Terrestre"
2017;"JUV";"Court";0;0;0,0114801864801865;0,078525641025641;0,101984126984127;"Terrestre"
2018;"JUV";"Court";0;0;0;0;0,0729166666666667;"Terrestre"
1989;"AD";"Long";0,169642857142857;0,196428571428571;0,226190476190476;0,255952380952381;0,282738095238095;"Terrestre"
1990;"AD";"Long";0,0456501831501832;0,139441639441639;0,162899262899263;0,198803827751196;0,226836622807018;"Terrestre"
1991;"AD";"Long";0,00211267605633803;0,0221937686726419;0,0476190476190476;0,129166666666667;0,16609375;"Terrestre"
1992;"AD";"Long";0,00921052631578948;0,0756578947368421;0,146428571428571;0,168478260869565;0,213768115942029;"Terrestre"
1993;"AD";"Long";0,0166666666666667;0,133783783783784;0,158476658476658;0,232954545454545;0,353618421052632;"Terrestre"
1994;"AD";"Long";0,0913489736070381;0,095307917888563;0,107210626185958;0,143790849673203;0,21437908496732;"Terrestre"
1995;"AD";"Long";0;0,015625;0,0697115384615385;0,16439205955335;0,267249103942652;"Terrestre"
1996;"AD";"Long";0,111702702702703;0,144054054054054;0,18;0,18375;0,187125;"Terrestre"
1997;"AD";"Long";0;0;0,125;0,142857142857143;0,224285714285714;"Terrestre"
1998;"AD";"Long";0,0163043478260869;0,16304347826087;0,239130434782609;0,267080745341615;0,283850931677019;"Terrestre"
1999;"AD";"Long";0,0075;0,075;0,190625;0,313878676470588;0,401976102941176;"Terrestre"
2000;"AD";"Long";0;0;0,107954545454545;0,152597402597403;0,267532467532468;"Terrestre"
2001;"AD";"Long";0;0,0113636363636364;0,0909090909090909;0,213888888888889;0,295584045584046;"Terrestre"
2002;"AD";"Long";0;0;0,111111111111111;0,188988095238095;0,368461538461539;"Terrestre"
2003;"AD";"Long";0;0,1203125;0,197916666666667;0,26555023923445;0,327604166666667;"Terrestre"
2004;"AD";"Long";0;0;0,0666666666666667;0,163333333333333;0,389814814814815;"Terrestre"
2005;"AD";"Long";0;0,0557275541795666;0,130841121495327;0,227272727272727;0,328571428571429;"Terrestre"
2006;"AD";"Long";0;0;0,0980861244019139;0,170875959079284;0,25;"Terrestre"
2007;"AD";"Long";0;0;0,0849282296650718;0,154179566563467;0,220220588235294;"Terrestre"
2008;"AD";"Long";0;0,0555555555555556;0,0833333333333333;0,166666666666667;0,296078431372549;"Terrestre"
2009;"AD";"Long";0;0;0,11952380952381;0,159502262443439;0,382692307692308;"Terrestre"
2010;"AD";"Long";0;0;0,130434782608696;0,197826086956522;0,380739795918367;"Terrestre"
2011;"AD";"Long";0;0,0227272727272727;0,111111111111111;0,165623369848722;0,293406593406593;"Terrestre"
2012;"AD";"Long";0;0;0,0754504504504505;0,218531468531469;0,2984375;"Terrestre"
2013;"AD";"Long";0;0,0434782608695652;0,137931034482759;0,191489361702128;0,292613636363636;"Terrestre"
2014;"AD";"Long";0;0,0598214285714286;0,133333333333333;0,215384615384615;0,329945054945055;"Terrestre"
2015;"AD";"Long";0;0,0534539473684211;0,15;0,188701923076923;0,29;"Terrestre"
2016;"AD";"Long";0;0,0508928571428571;0,0930735930735931;0,171474358974359;0,248397435897436;"Terrestre"
2017;"AD";"Long";0;0,0458096590909091;0,0909090909090909;0,133333333333333;0,185085227272727;"Terrestre"
2018;"AD";"Long";0;0;0,0575657894736842;0,095307917888563;0,181818181818182;"Terrestre"
1992;"JUV";"Long";0,00454545454545453;0,0454545454545455;0,0909090909090909;0,136363636363636;0,177272727272727;"Terrestre"
1996;"JUV";"Long";0,363636363636364;0,363636363636364;0,363636363636364;0,363636363636364;0,363636363636364;"Terrestre"
1997;"JUV";"Long";0,250568181818182;0,255681818181818;0,261363636363636;0,267045454545455;0,272159090909091;"Terrestre"
2001;"JUV";"Long";0,00208333333333333;0,0208333333333333;0,0416666666666667;0,0625;0,08125;"Terrestre"
2002;"JUV";"Long";0;0;0;0;0;"Terrestre"
2004;"JUV";"Long";0;0;0;0;0;"Terrestre"
2005;"JUV";"Long";0;0;0;0,0178571428571429;0,0660714285714286;"Terrestre"
2006;"JUV";"Long";0;0;0,0192307692307692;0,0413461538461539;0,0491346153846154;"Terrestre"
2007;"JUV";"Long";0;0;0;0;0,0760869565217391;"Terrestre"
2008;"JUV";"Long";0;0;0;0,027027027027027;0,0436117936117936;"Terrestre"
