"AGE_first";"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
"JUV";2014;"Terrestre";-0,142857142857143;-0,0476190476190476;0;0,0365853658536586;0,131904761904762
"AD";2015;"Terrestre";-0,144444444444444;-0,0454545454545455;0;0,0538738738738739;0,2
"JUV";2015;"Terrestre";-0,140079365079365;-0,0470588235294118;0;0,0416666666666667;0,142857142857143
"AD";2016;"Terrestre";-0,146425438596491;-0,0454545454545455;0;0,0529411764705882;0,193387230514096
"JUV";2016;"Terrestre";-0,166666666666667;-0,0621118012422361;-0,00621118012422369;0,0303030303030303;0,13095238095238
"AD";2017;"Terrestre";-0,16;-0,0555555555555556;0;0,0454545454545455;0,192557932263815
"JUV";2017;"Terrestre";-0,157554019770799;-0,0424242424242424;0;0,0555555555555556;0,18807453416149
"AD";2018;"Terrestre";-0,147751865671642;-0,0526315789473684;0;0,0481789044289044;0,233333333333333
"JUV";2018;"Terrestre";-0,13407867494824;-0,0487859966120836;0;0,0537825059101655;0,153339735381989
"AD";2019;"Terrestre";-0,147794117647059;-0,0465116279069767;0;0,0530192608016657;0,245147058823529
"JUV";2019;"Terrestre";-0,147058823529412;-0,0387820512820513;0,0047829398324448;0,0576923076923077;0,176200430004778
