"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2005;"Terrestre";1,20698380566802;1,62538699690402;2,13235294117647;2,625;3,06770833333333;"LANRIO"
2006;"Terrestre";2,84166666666667;4,41666666666667;5,14705882352941;5,84558823529412;7,33455882352941;"LANRIO"
2007;"Terrestre";2,16071428571429;2,32142857142857;2,5;2,91666666666667;3,29166666666667;"LANRIO"
2008;"Terrestre";0,65375;0,9125;1,2;2,00625;2,731875;"LANRIO"
2009;"Terrestre";2,13125;3,3125;3,79807692307692;3,95604395604396;4,25274725274725;"LANRIO"
2010;"Terrestre";1,44642857142857;1,60714285714286;1,74242424242424;2,06676136363636;2,73792613636364;"LANRIO"
2011;"Terrestre";1,96875;2,59328358208955;2,72727272727273;3,2183908045977;6,875;"LANRIO"
2012;"Terrestre";1,16071428571429;1,83333333333333;2,6865671641791;4,6969696969697;10,03125;"LANRIO"
2013;"Terrestre";1,23214285714286;2,27142857142857;2,6865671641791;3,03030303030303;6,16666666666666;"LANRIO"
2014;"Terrestre";1,2675;1,875;2,5;2,72727272727273;3,64772727272727;"LANRIO"
2015;"Terrestre";0,864448051948052;2,88906009244992;3,33333333333333;5,3125;6,51041666666667;"LANRIO"
2016;"Terrestre";1,09071428571429;1,43333333333333;1,875;2,7;7,621875;"LANRIO"
2017;"Terrestre";1,1875;2,125;2,75;3,25;5,94298245614035;"LANRIO"
2018;"Terrestre";1,305;1,875;2,12406015037594;3;6,9375;"LANRIO"
2019;"Terrestre";1,69047619047619;1,9047619047619;2,14285714285714;5,75892857142857;9,01339285714286;"LANRIO"
1993;"Terrestre";1,03448275862069;1,03448275862069;1,03448275862069;1,03448275862069;1,03448275862069;"LOCNAE"
1999;"Terrestre";4,28571428571429;4,28571428571429;4,28571428571429;4,28571428571429;4,28571428571429;"LOCNAE"
2000;"Terrestre";1,36363636363636;1,36363636363636;1,36363636363636;1,36363636363636;1,36363636363636;"LOCNAE"
2001;"Terrestre";2,88461538461538;2,88461538461538;2,88461538461538;2,88461538461538;2,88461538461538;"LOCNAE"
2002;"Terrestre";1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;"LOCNAE"
2003;"Terrestre";1,13690476190476;1,36904761904762;1,62698412698413;1,88492063492063;2,11706349206349;"LOCNAE"
2004;"Terrestre";1,00714285714286;1,07142857142857;1,11111111111111;2,5;27,25;"LOCNAE"
2005;"Terrestre";0,786538461538462;0,942307692307692;1,5;2,33333333333333;3,23333333333333;"LOCNAE"
2006;"Terrestre";1,77415966386555;1,85924369747899;1,95378151260504;2,04831932773109;2,13340336134454;"LOCNAE"
2007;"Terrestre";1,01666666666667;1,16666666666667;1,33333333333333;1,5;1,65;"LOCNAE"
2008;"Terrestre";1,33846153846154;2,35576923076923;2,61363636363636;3,18181818181818;4,16666666666667;"LOCNAE"
2009;"Terrestre";1,335;2,55;3;3;3;"LOCNAE"
2010;"Terrestre";1,71474358974359;2,1474358974359;2,65384615384615;3;3;"LOCNAE"
2011;"Terrestre";2,0875;2,5;3;3,54166666666667;5,22916666666667;"LOCNAE"
2012;"Terrestre";1,2875;1,82142857142857;2,22222222222222;2,86363636363636;5,55;"LOCNAE"
2013;"Terrestre";1,249802605606;1,6255428345835;2,38235294117647;3,75;5,775;"LOCNAE"
2014;"Terrestre";1,74642857142857;2,03571428571429;2,35714285714286;2,67857142857143;2,96785714285714;"LOCNAE"
2015;"Terrestre";0,658928571428572;1,76785714285714;3;3,75;4,425;"LOCNAE"
2016;"Terrestre";1,16785714285714;2,03571428571429;3;3;3;"LOCNAE"
2017;"Terrestre";1,77083333333333;2,625;3;3;3,29166666666667;"LOCNAE"
2018;"Terrestre";3;3;3;3,75;4,425;"LOCNAE"
2019;"Terrestre";1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667;"LOCNAE"
1990;"Terrestre";1,09133941093969;1,96739130434783;3,109375;5,3296875;10,11875;"LUSMEG"
1991;"Terrestre";0,767045454545455;1,33928571428571;2,08333333333333;6,12009803921569;9,5125;"LUSMEG"
1992;"Terrestre";0,703125;1,10119047619048;2,29020979020979;3,48557692307692;7,46634615384615;"LUSMEG"
1993;"Terrestre";0,750581395348837;1,02586206896552;1,57019704433498;2,70833333333333;6,08333333333333;"LUSMEG"
1994;"Terrestre";0,72765261627907;0,953125;1,28947368421053;3,66396761133603;4,76900972590628;"LUSMEG"
1995;"Terrestre";1,07516611295681;1,33305647840532;2,0935960591133;3,13146551724138;4,13814655172414;"LUSMEG"
1996;"Terrestre";0,769230769230769;1,26012145748988;1,72697368421053;2,53125;5,67578125;"LUSMEG"
1997;"Terrestre";0,622679045092838;1,03448275862069;1,72413793103448;2,5;5,875;"LUSMEG"
1998;"Terrestre";1,4025974025974;1,75324675324675;2,14285714285714;3,82142857142857;5,33214285714286;"LUSMEG"
1999;"Terrestre";0,969460227272727;1,25710227272727;1,47129186602871;2,01754385964912;3,20175438596491;"LUSMEG"
2000;"Terrestre";0,95625;1,125;2,28260869565217;3,23529411764706;135,323529411765;"LUSMEG"
2001;"Terrestre";2,38607859531773;2,97694902548726;3,65698729582577;6,38157894736842;10,9249226006192;"LUSMEG"
2002;"Terrestre";1,17059891107078;1,95171849427169;3,125;3,63970588235294;9,375;"LUSMEG"
2003;"Terrestre";1,25146198830409;2,30769230769231;3,75;4,2;6,91093117408907;"LUSMEG"
2004;"Terrestre";1,57894736842105;1,77807486631016;3;3,9375;8,7;"LUSMEG"
2005;"Terrestre";1,31842105263158;2,56009615384615;4,61538461538461;7,08333333333333;60;"LUSMEG"
2006;"Terrestre";1,43610547667343;2,90625;5;6;18,45;"LUSMEG"
2007;"Terrestre";1,25757575757576;3;5;7,05882352941176;37,6000000000003;"LUSMEG"
2008;"Terrestre";1,48125;2,5;4,9;6,81818181818182;16,1249999999999;"LUSMEG"
2009;"Terrestre";1,41666666666667;2,45192307692308;3,15886699507389;5,53846153846154;10,725;"LUSMEG"
2010;"Terrestre";1,54605263157895;3;5;6,81818181818182;10,3636363636364;"LUSMEG"
2011;"Terrestre";1,03571428571429;3,54166666666667;4,28571428571429;6;11,0375;"LUSMEG"
