"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2002;"Terrestre";0,4875;1;1,53846153846154;2;4,78571428571428;"CERYLA"
2003;"Terrestre";0,693009118541033;1,1;1,5;2,25;4;"CERYLA"
2004;"Terrestre";0,766666666666667;1,51973684210526;2,15384615384615;3,64583333333333;6,18749999999999;"CERYLA"
2005;"Terrestre";1;1,62280701754386;2,14285714285714;2,5625;3,80357142857143;"CERYLA"
2006;"Terrestre";1,08125;1,75;2,07142857142857;3,11842105263158;4,11160714285714;"CERYLA"
2007;"Terrestre";0,865530303030303;1,6169028340081;2,27142857142857;3,33333333333333;5,575;"CERYLA"
2008;"Terrestre";1,115;1,66666666666667;2;4,07142857142857;9,159375;"CERYLA"
2009;"Terrestre";1,13853658536585;1,57894736842105;2;2,14285714285714;5,23636363636364;"CERYLA"
2010;"Terrestre";0,765759698275862;1,60087719298246;2,40384615384615;3;4,95;"CERYLA"
2011;"Terrestre";1,66666666666667;1,75831202046036;2,22527472527473;3;4,73214285714286;"CERYLA"
2012;"Terrestre";1,1375;2,15384615384615;2,5;3,33333333333333;7,15714285714285;"CERYLA"
2013;"Terrestre";0,911370056497175;1,49533195020747;2,32142857142857;2,92164179104478;6,92857142857143;"CERYLA"
2014;"Terrestre";1,54583333333333;1,96875;2,48571428571429;2,79545454545455;4,20714285714286;"CERYLA"
2015;"Terrestre";1,22142857142857;2,5;3,33333333333333;3,90756302521008;7,53;"CERYLA"
2016;"Terrestre";3,33333333333333;3,33333333333333;3,33333333333333;3,33333333333333;3,33333333333333;"CERYLA"
1989;"Terrestre";1,2;1,2;1,2;1,2;1,2;"DENMAJ"
1990;"Terrestre";0,589117647058824;0,597058823529412;0,8;1,1015625;1,37578125;"DENMAJ"
1991;"Terrestre";0,599933155080214;0,745738636363636;1,35110294117647;1,84742647058824;2,334375;"DENMAJ"
1992;"Terrestre";0,615;0,75;0,9;1,05;1,185;"DENMAJ"
1993;"Terrestre";0,681081081081081;0,810810810810811;0,9375;1,5;5,55;"DENMAJ"
1994;"Terrestre";0,63375;0,9375;1,03448275862069;1,53846153846154;1,84134615384615;"DENMAJ"
1995;"Terrestre";0,668939393939394;0,715909090909091;0,833333333333333;0,897321428571429;3,328125;"DENMAJ"
1996;"Terrestre";0,7640625;0,890625;0,985991379310345;1,71336206896552;3,54633620689655;"DENMAJ"
1997;"Terrestre";0,7640625;0,890625;1,06875;1,8375;3,55875;"DENMAJ"
1998;"Terrestre";0,76875;0,9375;1,4375;2,34375;3,609375;"DENMAJ"
1999;"Terrestre";1,065625;1,65625;4,6875;8,4375;10,96875;"DENMAJ"
2000;"Terrestre";0,657801418439716;0,833333333333333;0,9375;1,2;3,495;"DENMAJ"
2001;"Terrestre";0,690625;1,1875;2,30769230769231;2,3974358974359;3,56041666666667;"DENMAJ"
2002;"Terrestre";0,83125;2;2,5;2,5;2,875;"DENMAJ"
2003;"Terrestre";0,664484451718494;1;1,2;2,5;3,6;"DENMAJ"
2004;"Terrestre";1,2;1,46634615384615;1,88235294117647;2,625;6,49264705882353;"DENMAJ"
2005;"Terrestre";0,925;1,4375;1,88235294117647;2,14285714285714;4,03125;"DENMAJ"
2006;"Terrestre";0,977142857142857;1,53947368421053;1,875;2,5625;4,96875;"DENMAJ"
2007;"Terrestre";1,01762820512821;1,66666666666667;2,14285714285714;3;6,0625;"DENMAJ"
2008;"Terrestre";1,3275;1,79227941176471;2,22527472527473;3;5,15;"DENMAJ"
2009;"Terrestre";1,06;1,875;2,5;4,5;7,4;"DENMAJ"
2010;"Terrestre";1,19561688311688;1,57894736842105;2,07142857142857;3;6,76875;"DENMAJ"
2011;"Terrestre";1,09118037135279;1,70238095238095;2,75;3;5,54403409090909;"DENMAJ"
2012;"Terrestre";1,19951923076923;1,66666666666667;2,22527472527473;3,33333333333333;4,42;"DENMAJ"
2013;"Terrestre";0,876016260162602;1,66666666666667;2;3;4,87700534759358;"DENMAJ"
2014;"Terrestre";1,05924916107383;1,66836734693878;2;2,70161290322581;4,82692307692308;"DENMAJ"
2015;"Terrestre";0,9375;1,875;2,27534148094896;3;5,05;"DENMAJ"
2016;"Terrestre";1,02790178571429;1,84151785714286;2,73809523809524;3,33333333333333;3,33333333333333;"DENMAJ"
1989;"Terrestre";2,415;2,55;2,7;2,85;2,985;"EMBCIT"
1990;"Terrestre";0,772727272727273;1,95909090909091;2,15686274509804;2,59375;3;"EMBCIT"
1991;"Terrestre";0,746590909090909;1,2125;1,67151162790698;2,09825581395349;3,10033783783784;"EMBCIT"
1992;"Terrestre";0,840686274509804;0,941176470588235;1,2;2,13636363636364;2,73153409090909;"EMBCIT"
1993;"Terrestre";0,660294117647059;1,25;1,47747747747748;1,8359375;10,31015625;"EMBCIT"
1994;"Terrestre";0,770769230769231;0,784615384615385;0,8;0,917241379310345;1,02275862068966;"EMBCIT"
1995;"Terrestre";0,602272727272727;0,858150470219436;1,875;2,25;6,75;"EMBCIT"
1996;"Terrestre";0,691666666666667;0,916666666666667;1,07692307692308;2,40950226244344;5,79977375565611;"EMBCIT"
1997;"Terrestre";1,95216907675195;2,22136699507389;2,73928571428571;2,809375;3,6328125;"EMBCIT"
1998;"Terrestre";1,83333333333333;3,11538461538462;3,60576923076923;4,6875;7,1875;"EMBCIT"
1999;"Terrestre";1,07021276595745;1,70212765957447;3,33333333333333;3,75;7,125;"EMBCIT"
2000;"Terrestre";0,912151702786378;1,20065789473684;2,06074124914207;4,69615384615385;13,845;"EMBCIT"
2001;"Terrestre";1,15384615384615;1,38221153846154;1,78947368421053;3,125;4,09375;"EMBCIT"
2002;"Terrestre";0,833333333333333;1,125;1,66666666666667;2,61363636363636;8,04166666666667;"EMBCIT"
2003;"Terrestre";0,723717146433041;1,38947368421053;2;3,46153846153846;4,75;"EMBCIT"
