"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"TURMER";2019;"AD";"Court";78,0116831506727;83,9920032963511;86,2797415145241;91,6512465773166;102,020497874194;"Terrestre"
"ERIRUB";1991;"JUV";"Court";16,7671232876712;16,7671232876712;16,7671232876712;16,7671232876712;16,7671232876712;"Terrestre"
"PARCAE";1991;"JUV";"Court";10,6716417910448;10,6716417910448;10,6716417910448;10,6716417910448;10,6716417910448;"Terrestre"
"PARMAJ";1991;"JUV";"Court";14,7039473684211;14,7039473684211;14,7039473684211;14,7039473684211;14,7039473684211;"Terrestre"
"PRUMOD";1992;"JUV";"Court";16,6357142857143;16,6357142857143;16,6357142857143;16,6357142857143;16,6357142857143;"Terrestre"
"TURMER";1992;"JUV";"Court";92,4110383064516;93,5519153225806;94,8195564516129;96,0871975806452;97,2280745967742;"Terrestre"
"ERIRUB";1993;"JUV";"Court";17,28;17,28;17,28;17,28;17,28;"Terrestre"
"PRUMOD";1993;"JUV";"Court";18,8871376811594;19,1105072463768;19,3586956521739;19,606884057971;19,8302536231884;"Terrestre"
"SYLATR";1993;"JUV";"Court";18,7432432432432;18,7432432432432;18,7432432432432;18,7432432432432;18,7432432432432;"Terrestre"
"ERIRUB";1994;"JUV";"Court";18,4864864864865;18,4864864864865;18,4864864864865;18,4864864864865;18,4864864864865;"Terrestre"
"ERIRUB";1995;"JUV";"Court";15,6169014084507;16,0609059763989;17,2394366197183;18,2535211267606;18,2535211267606;"Terrestre"
"PHYCOL";1995;"JUV";"Court";6,825;6,825;6,825;6,825;6,825;"Terrestre"
"ERIRUB";1996;"JUV";"Court";16,5405405405405;16,5405405405405;16,5405405405405;16,5405405405405;16,5405405405405;"Terrestre"
"PARMAJ";1996;"JUV";"Court";16,3287671232877;16,3287671232877;16,3287671232877;16,3287671232877;16,3287671232877;"Terrestre"
"PHYCOL";1996;"JUV";"Court";6,71311475409836;6,71311475409836;6,71311475409836;6,71311475409836;6,71311475409836;"Terrestre"
"ERIRUB";1998;"JUV";"Court";14,2198103266596;14,7945205479452;16,3454177401546;17,3716216216216;19,2116868592731;"Terrestre"
"PARMAJ";1998;"JUV";"Court";16,5555555555556;16,5555555555556;16,7920634920635;17,0285714285714;17,1040781853282;"Terrestre"
"PHYCOL";1998;"JUV";"Court";7,24778761061947;7,24778761061947;7,24778761061947;7,24778761061947;7,24778761061947;"Terrestre"
"SYLATR";1998;"JUV";"Court";14,2937062937063;14,2937062937063;16,1468531468531;18,1233333333333;18,4563333333333;"Terrestre"
"TURMER";1998;"JUV";"Court";82,8585271317829;82,8585271317829;82,8585271317829;82,8585271317829;82,8585271317829;"Terrestre"
"ERIRUB";1999;"JUV";"Court";15,0810810810811;16,32;16,9594405594406;17,9383561643836;20,5360977051118;"Terrestre"
