"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"SYLATR";1997;"AD";"Court";15,7010469798657;16,7718120805369;17,3541666666667;19,5999999999999;22,028582781457;"Terrestre"
"TROTRO";1997;"AD";"Court";9,09278350515464;9,09278350515464;9,09278350515464;9,09278350515464;9,09278350515464;"Terrestre"
"TURMER";1997;"AD";"Court";76,8393536121671;83,3549360795454;87,6562500000001;94,2794466403162;102,158827674464;"Terrestre"
"TURPHI";1997;"AD";"Court";62,8688524590161;62,8688524590161;63,0689655172414;64,0344827586207;69,7655737704916;"Terrestre"
"ERIRUB";1998;"AD";"Court";15,8166666666666;16,1126126126126;16,4539682539683;17,0142857142857;17,9014285714286;"Terrestre"
"FRICOE";1998;"AD";"Court";20,5072058823529;21,2470588235294;22,0243902439024;22,0243902439024;25,1357723577236;"Terrestre"
"PARCAE";1998;"AD";"Court";11,171875;11,171875;11,171875;11,171875;11,171875;"Terrestre"
"PARMAJ";1998;"AD";"Court";16,2162162162162;16,2162162162162;16,3873288873289;16,5584415584415;16,5584415584415;"Terrestre"
"PHYCOL";1998;"AD";"Court";6,71544715447156;6,74296947887511;6,88333333333335;7,64814814814814;8,04298850574714;"Terrestre"
"PRUMOD";1998;"AD";"Court";15,8666666666667;16,9890873015873;18,2608695652174;19,7887323943663;22,0092710997442;"Terrestre"
"PYRULA";1998;"AD";"Court";21,0838235294118;21,9176470588236;22,3941176470589;23,4981348637015;26,8837271341463;"Terrestre"
"SYLATR";1998;"AD";"Court";14,8860759493671;15,8918918918918;16,2272727272727;17,1164383561644;19,1262276360868;"Terrestre"
"TROTRO";1998;"AD";"Court";9,6528799019608;10,0582107843137;10,2083333333333;10,40625;10,940625;"Terrestre"
"TURMER";1998;"AD";"Court";79,2045454545454;85,2361111111114;90,2436534706196;97,3282442748089;105,455152671755;"Terrestre"
"TURPHI";1998;"AD";"Court";56,0983606557375;58,0408469945355;59,9833333333335;68,4756097560976;75,3335524920467;"Terrestre"
