LONG;LAT;ID_PROG
2.774272;50.440761;132
3.258250;50.414237;133
4.0492;48.419095;134
8.049941;48.799763;135
5.56;45.42291667;136
5.522031;43.850429;137
0.27666667;49.49861111;138
-1.75239444;43.38244444;139
2.161296;48.700844;140
1.34543333;44.43597222;141
2.11742525;49.96226523;142
1.597563;50.432988;143
0.15;46.549999;144
0.530972;49.419917;145
9.4;42.950001;146
2.72897778;48.42113333;147
2.61;48.4195;148
2.57233;48.395305;149
2.573463;48.374831;150
1.709444;50.218450;151
-1.81861111;48.88083333;152
1.82108333;48.71469444;154
4.899416;45.008156;155
3.8421003;43.53546684;157
2.73497222;48.92088611;158
4.88794167;45.79579167;159
5.019778;45.125472;160
-4.559489;48.443381;161
1.39765278;43.16382778;162
-3.03340833;47.990825;163
2.576230;49.342092;164
-1.4133676;49.700617;166
-4.293625;48.634285;168
3.096557;49.572377;169
9.34666667;42.67611111;170
2.161296;48.700844;171
2.46177778;43.36384722;172
6.011028;43.607833;173
6.539444;45.820833;174
-1.843656;49.626206;175
-1.841887;49.621554;176
-1.5007122;49.2022517;177
-1.837093;48.877432;178
-1.405887;47.302822;179
7.905341;48.798463;180
5.06434444;43.67412778;181
4.95888;44.05638;184
-1.957962;47.694335;185
4.64175;48.339054;187
0.19566944;44.09045278;188
-1.02205;48.15468889;189
-1.30746944;48.15435;190
002.405877;48.957045;191
002.519823;48.958099;192
2.030754;50.996701;193
1.57837778;50.44281389;194
1.606663;50.541839;195
0.958458;46.434028;196
-1.76666667;47.57235833;197
2.27248611;51.01340833;198
1.69716944;50.3264;199
2.606571;48.295455;200
3.429444;47.071111;201
-0.679423;45.131123;202
4.46081389;47.59185;203
2.45136111;48.67386111;204
4.650017;48.484753;205
4.899114;45.007607;208
5.928151;46.134083;209
5.406582;43.924511;210
0.501449;46.66632;211
2.80289167;50.40818333;212
-0.16387778;48.98865278;213
-0.36908333;49.17403889;214
2.58798889;50.64705556;215
-3.7745226;48.452811;216
1.58430556;50.59486944;217
1.58929167;50.34869444;218
6.146694;44.609028;219
3.277295;44.214696;220
1.546139;50.268633;221
-4.270513;48.147147;222
-4.269648;48.152988;223
-4.062658;48.079746;224
1.39476667;49.46448889;225
-1.989574;47.76265;226
2.299032;48.772308;227
5.357222;48.5975;228
5.408889;48.558334;229
5.295556;48.553055;230
5.370555;48.474167;232
5.414166;48.50528;231
 -1.194563;46.187532;235
-1.962075;47.68390278;236
4.941981;46.710586;238
3.69114444;47.97765556;239
7.268198;48.39787;240
2.954805;50.596127;241
6.365113;47.483898;242
-1.569665;48.745648;243
5.764612;45.884942;244
7.26843;47.753878;245
5.228025;43.85689167;246
5.12368333;43.92105556;247
2.49908333;51.07002222;248
4.700697;48.596544;249
6.048611;48.938056;250
-1.905028;47.255833;251
-1.92981667;47.26828333;252
0.11616667;43.9061;253
4.21;43.60361111;254
2.97930556;48.99916667;255
7.541887;48.530720;256
0.054116;42.760663;260
-3.020274;48.758503;261
1.117944;45.826240;262
2.27875556;51.02100556;263
4.92756389;44.973425;264
1.92005556;50.97002778;265
-1.89125278;48.69097222;266
-0.110609;42.886803;267
-0.621529;42.978107;268
1.895518;48.866302;269
5.310278;48.510278;270
6.14;48.369444;271
2.93125278;43.60897778;272
-1.02998333;44.64171111;275
-0.86178333;42.97671389;276
-0.84429444;43.98458611;277
5.71847;43.93103;278
-2.165833;48.593889;280
 6.012055;43.657786;281
9.53305556;42.4525;282
2.785318;48.345747;283
3.020975;43.67805556;284
2.280625;50.780896;285
0.538275;44.72481389;286
2.84142;50.499213;287
-2.94806944;47.97913056;288
1.33998611;44.41666667;290
-0.080896;42.990715;291
2.1167;49.9657;292
4.694444;48.335486;293
4.793597;49.556641;294
1.440384;43.813385;295
-3.193207;47.630210;296
-1.993113;47.047903;297
2.978583;50.456556;298
5.431556;45.750722;299
1.89527778;48.86222222;610
2.606571;48.295455;615
-4.268226;48.155031;620
0.683135;49.357773;621
-000.103045;48.292832;622
2.282513;50.785522;623
-0.736493;45.9001663;628
-2.791187;47.574023;637
-3.15;48.731546;639
-2.37870278;47.69124722;640
-4.216655;47.838879;641
4.755663;43.685281;642
-003.551180;48.781779;643
-1.88548611;47.97936944;649
-1.88885;47.97821111;650
5.391819;48.519630;659
0.191925;47.13118889;660
2.883184;45.182298;661
0.426014;49.459829;662
-2.38222222;47.98855556;663
5.25275556;43.85283611;667
-0.00671;45.94808;668
4.78082;43.58463;670
-0.952247;45.769052;672
3.421496;47.225002;675
-0.715;48.8196;676
8.12867778;48.90714167;683
1.40158;50.056538;684
1.418457;50.085596;685
1.81630556;50.67447222;686
6.104616;46.513989;687
-0.358007;44.695385;688
5.90062778;45.29201944;693
-1.01920833;48.03276667;699
3.771588;49.666540;700
2.0925;48.82888889;701
6.12009722;44.62164444;703
